"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5015","Valid user can login to SauceDemo","firefox","2026-01-27","passed","2026-01-27","","login.spec.ts","",""
"","1954","Invalid user cannot login","webkit","2026-01-27","passed","2026-01-27","","login-negative.spec.ts","",""
"","5439","User can complete purchase flow","firefox","2026-01-27","passed","2026-01-27","","e2e-checkout.spec.ts","",""
"","5960","User can complete purchase flow","firefox","2026-01-27","passed","2026-01-27","E2E – Purchase Flow","e2e-checkout.spec.ts","",""
"","4861","Valid user can login to SauceDemo","chromium","2026-01-27","failed","2026-01-27","Login page test","login.spec.ts","",""
"","5893","Valid user can login to SauceDemo","chromium","2026-01-27","passed","2026-01-27","","login.spec.ts","",""
"","5655","Invalid user cannot login","chromium","2026-01-27","passed","2026-01-27","","login-negative.spec.ts","",""
"","6509","User can complete purchase flow","chromium","2026-01-27","passed","2026-01-27","E2E – Purchase Flow","e2e-checkout.spec.ts","",""
"","6272","User can complete purchase flow","chromium","2026-01-27","passed","2026-01-27","","e2e-checkout.spec.ts","",""
"","6065","Invalid user cannot login","firefox","2026-01-27","passed","2026-01-27","Negative Login test","login-negative.spec.ts","",""
"","761","Valid user can login to SauceDemo","webkit","2026-01-27","failed","2026-01-27","Login page test","login.spec.ts","",""
"","2779","Valid user can login to SauceDemo","firefox","2026-01-27","failed","2026-01-27","Login page test","login.spec.ts","",""
"","5784","Invalid user cannot login","chromium","2026-01-27","passed","2026-01-27","Negative Login test","login-negative.spec.ts","",""
"","1945","Valid user can login to SauceDemo","webkit","2026-01-27","passed","2026-01-27","","login.spec.ts","",""
"","2523","Invalid user cannot login","webkit","2026-01-27","passed","2026-01-27","Negative Login test","login-negative.spec.ts","",""
"","3130","User can complete purchase flow","webkit","2026-01-27","passed","2026-01-27","","e2e-checkout.spec.ts","",""
"","4601","User can complete purchase flow","webkit","2026-01-27","passed","2026-01-27","E2E – Purchase Flow","e2e-checkout.spec.ts","",""
"","4749","Invalid user cannot login","firefox","2026-01-27","passed","2026-01-27","","login-negative.spec.ts","",""
